"路線","卡號","票種","上車日期","上車時間","上車分鐘","上車站名","下車日期","下車時間","下車分鐘","下車站名"
11,"3.29E+13","學生票","2016-01-01","16:36",996,"新生站","2016/1/1","17:27:09",1047,"鹿野"
11,"137D91E9","學生票","2016-01-01","16:36",996,"新生站","2016/1/1","17:27:17",1047,"鹿野"
11,"430A85E9","學生票","2016-01-01","16:52",1012,"四維路口","2016/1/1","17:23:00",1043,"龍田"
11,"43548FE9","學生票","2016-01-01","16:38",998,"新生站","2016/1/1","17:12:04",1032,"明峰"
11,"63898FE9","學生票","2016-01-01","16:35",995,"新生站","2016/1/1","17:22:45",1042,"湖底"
11,"73A591E9","學生票","2016-01-01","16:37",997,"新生站","2016/1/1","17:09:55",1029,"煙草間"
11,"C32C92E9","學生票","2016-01-01","16:36",996,"新生站","2016/1/1","17:03:45",1023,"下賓朗"
11,"D8209C90","學生票","2016-01-01","16:47",1007,"署東醫院","2016/1/1","17:05:01",1025,"賓朗"
11,"13878FE9","學生票","2016-01-01","12:37",757,"景豐","2016/1/1","12:45:57",765,"關山"
11,"4180616324","學生票","2016-01-01","11:26",686,"新生站","2016/1/1","13:07:03",787,"池上站"
11,"93558FE9","學生票","2016-01-01","12:37",757,"景豐","2016/1/1","12:45:55",765,"關山"
11,"438C726F","學生票","2016-01-01","09:08",548,"武陵","2016/1/1","09:21:03",561,"關山"
11,"93A58EE9","學生票","2016-01-01","08:44",524,"初鹿","2016/1/1","08:51:07",531,"四維"
11,"C707C446","學生票","2016-01-04","11:45",705,"卑南農會","2016/1/4","12:02:15",722,"明峰"
11,"0EE90CCF","學生票","2016-01-04","16:43",1003,"中央市場","2016/1/4","17:51:01",1071,"新豐"
11,"138A8EE9","學生票","2016-01-04","18:02",1082,"關山","2016/1/4","18:08:32",1088,"頂庄"
11,"138C8EE9","學生票","2016-01-04","18:02",1082,"關山","2016/1/4","18:08:37",1088,"頂庄"
11,"23698FE9","學生票","2016-01-04","17:32",1052,"鹿野國中","2016/1/4","17:46:59",1066,"武陵"
11,"53AF8EE9","學生票","2016-01-04","17:01",1021,"卑南國中","2016/1/4","17:07:43",1027,"賓朗"
11,"73A18EE9","學生票","2016-01-04","18:02",1082,"關山","2016/1/4","18:06:43",1086,"德高"
11,"8.40E+14","學生票","2016-01-04","18:12",1092,"海端","2016/1/4","18:18:08",1098,"初來"
11,"83B88DE9","學生票","2016-01-04","17:34",1054,"鹿野","2016/1/4","17:46:53",1066,"武陵"
11,"83FF91E9","學生票","2016-01-04","18:02",1082,"關山","2016/1/4","18:10:20",1090,"山平路"
11,"9.31E+14","學生票","2016-01-04","18:02",1082,"關山","2016/1/4","18:17:09",1097,"初來"
11,"93538FE9","學生票","2016-01-04","18:02",1082,"關山","2016/1/4","18:16:47",1096,"初來"
11,"9.38E+14","學生票","2016-01-04","18:12",1092,"海端","2016/1/4","18:18:24",1098,"初來"
11,"A3EA84E9","學生票","2016-01-04","17:00",1020,"卑南國中","2016/1/4","17:07:40",1027,"賓朗"
11,"E8333DD6","學生票","2016-01-04","18:12",1092,"海端","2016/1/4","18:17:05",1097,"初來"
11,"F3888FE9","學生票","2016-01-04","17:01",1021,"卑南國中","2016/1/4","17:11:08",1031,"東成"
11,"F3EB84E9","學生票","2016-01-04","18:12",1092,"海端","2016/1/4","18:18:26",1098,"初來"
11,"53AF8EE9","學生票","2016-01-05","16:59",1019,"卑南國中","2016/1/5","17:05:24",1025,"賓朗"
11,"53C48DE9","學生票","2016-01-05","17:54",1074,"關山","2016/1/5","18:11:28",1091,"初來"
11,"8.40E+14","學生票","2016-01-05","18:04",1084,"海端","2016/1/5","18:11:21",1091,"初來"
11,"83B88DE9","學生票","2016-01-05","17:29",1049,"鹿野","2016/1/5","17:40:36",1060,"武陵"
11,"83FF91E9","學生票","2016-01-05","17:55",1075,"關山","2016/1/5","18:02:37",1082,"山平路"
11,"93538FE9","學生票","2016-01-05","17:54",1074,"關山","2016/1/5","18:10:01",1090,"初來"
11,"9.38E+14","學生票","2016-01-05","18:05",1085,"海端","2016/1/5","18:11:30",1091,"初來"
11,"A3EA84E9","學生票","2016-01-05","16:59",1019,"卑南國中","2016/1/5","17:04:41",1024,"賓朗"
11,"E8333DD6","學生票","2016-01-05","18:04",1084,"海端","2016/1/5","18:10:05",1090,"初來"
11,"E88841D6","學生票","2016-01-05","17:54",1074,"關山","2016/1/5","18:09:56",1089,"初來"
11,"F3888FE9","學生票","2016-01-05","16:59",1019,"卑南國中","2016/1/5","17:08:24",1028,"東成"
11,"F3EB84E9","學生票","2016-01-05","18:05",1085,"海端","2016/1/5","18:11:32",1091,"初來"
11,"2480073843","學生票","2016-01-06","17:12",1032,"明峰","2016/1/6","17:56:43",1076,"關山"
11,"7.39E+14","學生票","2016-01-06","18:06",1086,"海端","2016/1/6","18:14:33",1094,"錦屏"
11,"8.40E+14","學生票","2016-01-06","18:06",1086,"海端","2016/1/6","18:12:08",1092,"初來"
11,"83FF91E9","學生票","2016-01-06","17:57",1077,"關山","2016/1/6","18:04:14",1084,"山平路"
11,"9.31E+14","學生票","2016-01-06","17:57",1077,"關山","2016/1/6","18:11:02",1091,"初來"
11,"93538FE9","學生票","2016-01-06","17:57",1077,"關山","2016/1/6","18:10:54",1090,"初來"
11,"9.38E+14","學生票","2016-01-06","18:06",1086,"海端","2016/1/6","18:21:44",1101,"池上郵局"
11,"E8333DD6","學生票","2016-01-06","18:06",1086,"海端","2016/1/6","18:08:08",1088,"隴下"
11,"E88841D6","學生票","2016-01-06","17:56",1076,"關山","2016/1/6","18:10:51",1090,"初來"
11,"F3EB84E9","學生票","2016-01-06","18:06",1086,"海端","2016/1/6","18:21:42",1101,"池上郵局"
11,"83608FE9","學生票","2016-01-07","11:41",701,"變電所","2016/1/7","11:53:32",713,"卑南國中"
11,"E8D63DD6","學生票","2016-01-07","11:41",701,"變電所","2016/1/7","12:04:20",724,"明峰"
11,"23578FE9","學生票","2016-01-07","16:59",1019,"卑南國中","2016/1/7","17:05:47",1025,"賓朗"
11,"23698FE9","學生票","2016-01-07","17:31",1051,"鹿野國中","2016/1/7","17:44:11",1064,"武陵"
11,"7.39E+14","學生票","2016-01-07","18:13",1093,"海端","2016/1/7","18:23:09",1103,"錦屏"
11,"8.40E+14","學生票","2016-01-07","18:13",1093,"海端","2016/1/7","18:20:37",1100,"初來"
11,"93538FE9","學生票","2016-01-07","18:02",1082,"關山","2016/1/7","18:19:31",1099,"初來"
11,"9.38E+14","學生票","2016-01-07","18:12",1092,"海端","2016/1/7","18:20:49",1100,"初來"
11,"93FD91E9","學生票","2016-01-07","18:02",1082,"關山","2016/1/7","18:08:40",1088,"德高"
11,"E8333DD6","學生票","2016-01-07","18:12",1092,"海端","2016/1/7","18:16:21",1096,"隴下"
11,"E88841D6","學生票","2016-01-07","18:02",1082,"關山","2016/1/7","18:19:28",1099,"初來"
11,"F3888FE9","學生票","2016-01-07","16:59",1019,"卑南國中","2016/1/7","17:09:28",1029,"東成"
11,"F3EB84E9","學生票","2016-01-07","18:13",1093,"海端","2016/1/7","18:20:51",1100,"初來"
11,"23698FE9","學生票","2016-01-08","17:37",1057,"鹿野","2016/1/8","17:49:40",1069,"武陵"
