"路線","卡號","票種","上車日期","上車時間","上車分鐘","上車站名","下車日期","下車時間","下車分鐘","下車站名"
33,"E82A2C5A","敬老票",2016-01-01,"14:23",863,"中央市場","2016/1/1","15:11:27",911,"瑞源"
33,"1648735296","一般票",2016-01-01,"09:24",564,"台東","2016/1/1","10:02:38",602,"舊鹿鳴"
33,"22551A03","敬老票",2016-01-01,"09:55",595,"初鹿","2016/1/1","10:19:48",619,"瑞源"
33,"73A58EE9","學生票",2016-01-01,"09:19",559,"台東","2016/1/1","10:03:49",603,"四維"
33,"A2911903","敬老票",2016-01-01,"10:36",636,"關山","2016/1/1","10:40:54",640,"頂庄"
33,"D3D884E9","一般票",2016-01-01,"09:17",557,"台東","2016/1/1","09:45:55",585,"賓朗"
33,"E2371A03","敬老票",2016-01-01,"09:18",558,"台東","2016/1/1","10:50:52",650,"池上站"
33,"E39191E9","學生票",2016-01-01,"09:55",595,"初鹿","2016/1/1","10:04:07",604,"四維"
33,"E3D68DE9","學生票",2016-01-01,"09:17",557,"台東","2016/1/1","10:04:04",604,"四維"
33,"1B2905BA","敬老票",2016-01-04,"09:14",554,"新生站","2016/1/4","10:47:11",647,"新興"
33,"22551A03","敬老票",2016-01-04,"09:24",564,"中央市場","2016/1/4","10:20:52",620,"瑞源"
33,"22D81903","敬老票",2016-01-04,"09:35",575,"馬蘭榮家","2016/1/4","10:22:31",622,"瑞源教會"
33,"3211BD02","敬老票",2016-01-04,"10:37",637,"關山","2016/1/4","10:41:16",641,"德高"
33,"32271A03","敬老票",2016-01-04,"09:15",555,"新生站","2016/1/4","09:50:34",590,"美濃"
33,"32881903","敬老票",2016-01-04,"10:37",637,"關山","2016/1/4","10:42:47",642,"頂庄"
33,"32B8BC02","敬老票",2016-01-04,"09:54",594,"明峰","2016/1/4","09:58:43",598,"龍過脈"
33,"42B8BC02","敬老票",2016-01-04,"09:15",555,"新生站","2016/1/4","09:59:22",599,"龍過脈"
33,"A2681A03","敬老票",2016-01-04,"09:24",564,"中央市場","2016/1/4","10:37:01",637,"關山"
33,"A2901D03","敬老票",2016-01-04,"09:34",574,"馬蘭榮家","2016/1/4","10:10:20",610,"光榮"
33,"FB2905BA","敬老票",2016-01-04,"09:14",554,"新生站","2016/1/4","10:47:07",647,"新興"
33,"92ED1A03","敬老票",2016-01-04,"14:23",863,"新生站","2016/1/4","15:12:20",912,"瑞源"
33,"B2520C03","敬老票",2016-01-04,"14:23",863,"新生站","2016/1/4","15:12:15",912,"瑞源"
33,"1099A267","敬老票",2016-01-05,"14:15",855,"新生站","2016/1/5","15:39:32",939,"池上鄉公所"
33,"121C1A03","敬老票",2016-01-05,"14:15",855,"新生站","2016/1/5","15:15:49",915,"新豐"
33,"3587981763","一般票",2016-01-05,"14:26",866,"變電所","2016/1/5","14:58:21",898,"龍田"
33,"52241A03","敬老票",2016-01-05,"14:23",863,"中央市場","2016/1/5","15:21:22",921,"月眉國小"
33,"72C71903","敬老票",2016-01-05,"14:15",855,"新生站","2016/1/5","15:10:37",910,"瑞源教會"
33,"B289BC02","敬老票",2016-01-05,"14:15",855,"新生站","2016/1/5","15:40:42",940,"池上郵局"
33,"DE30B52B","敬老票",2016-01-05,"15:03",903,"鹿野鄉公所","2016/1/5","15:26:20",926,"親水公園"
